Celebrity,Filename,face_lw_ratio,forehead_ratio,midface_ratio,lowerface_ratio,eye_distance_ratio,nose_ratio,mouth_chin_ratio,jaw_angle,upper_lip_ratio,lower_lip_ratio,eye_aspect_ratio,eye_curvature_ratio,eye_symmetry
Lady_Gaga,3f2467e832178e86fc7af5b90ee471e1.jpg,0.939,0.312,0.357,0.394,0.248,1.046,1.173,140.039,0.148,0.242,0.273,0.058,0.914
Harry_Styles,50ce4a799b1ed6171fb3aa090afcdbeb.jpg,0.412,0.342,0.302,0.403,0.243,0.546,1.104,153.856,0.219,0.298,0.553,0.113,0.887
Justin_Timberlake,000001.jpg,0.554,0.348,0.359,0.309,0.267,0.628,1.064,159.396,0.148,0.216,0.409,0.084,0.92
Beyonc,000001.jpg,0.751,0.332,0.329,0.378,0.25,0.965,1.157,148.823,0.211,0.333,0.343,0.07,0.931
Angelina_Jolie,000001.jpg,1.029,0.344,0.337,0.367,0.261,1.24,1.321,134.948,0.119,0.164,0.227,0.057,0.955
Barack_Obama,000001.jpg,0.94,0.358,0.314,0.364,0.25,1.223,1.265,146.826,0.102,0.13,0.218,0.054,0.971
Natalie_Portman,000001.jpg,1.049,0.307,0.387,0.327,0.24,1.115,1.215,150.222,0.104,0.253,0.287,0.064,0.808
Jeff_Bezos,000001.jpg,0.411,0.35,0.324,0.374,0.246,0.536,1.391,150.285,0.173,0.253,0.415,0.079,0.855
Sam_Altman,1ab8cee9a19d5fb747b465abed9b65c7.jpg,0.479,0.334,0.354,0.347,0.242,0.516,1.147,156.515,0.254,0.365,0.581,0.12,0.817
Shawn_Mendes,000001.jpg,1.015,0.328,0.383,0.328,0.247,1.122,1.102,150.126,0.106,0.156,0.272,0.061,0.889
Mark_Zuckerberg,000001.jpg,0.503,0.337,0.354,0.35,0.259,0.595,1.123,153.853,0.175,0.243,0.497,0.105,0.953
Ed_Sheeran,0f25a65eda03f4eaaf6a8cc6c4861d20.jpg,0.422,0.34,0.326,0.372,0.261,0.531,1.162,155.064,0.193,0.239,0.508,0.101,0.799
Jordan_Peterson,000001.jpg,0.973,0.361,0.288,0.394,0.242,1.178,1.0,137.437,0.078,0.101,0.237,0.055,0.891
Tim_Cook,75e4e964a67ada8a5f3d118d0a8343f4.jpg,0.841,0.367,0.315,0.353,0.257,1.053,1.122,141.018,0.075,0.093,0.197,0.05,0.938
Michelle_Obama,78338b90cbb8d338934d47bac5b1b6c9.jpg,1.355,0.333,0.33,0.382,0.238,1.688,1.191,141.994,0.096,0.123,0.192,0.04,0.857
Malala Yousafzai,4ca28b41b50579af862314e97ab0b67e.jpg,0.521,0.309,0.322,0.423,0.246,0.705,1.069,147.58,0.262,0.339,0.493,0.098,0.934
George_Lucas,000001.jpg,1.022,0.336,0.31,0.393,0.251,1.332,1.01,133.454,0.095,0.109,0.172,0.037,0.854
Joe_Rogan,cdaa591794326ecdb6af826626346a5f.jpg,0.479,0.341,0.339,0.356,0.249,0.597,1.279,152.425,0.144,0.257,0.469,0.095,0.95
Quentin_Tarantino,7f17c74af37f507da094e52410d3fafb.jpg,0.759,0.366,0.305,0.373,0.263,1.044,1.006,141.353,0.132,0.163,0.282,0.062,0.943
Kamala_Harris,d52f5aaeb2f97344710b270ea5bdb3ef.jpg,0.697,0.301,0.355,0.395,0.249,0.889,1.225,145.742,0.13,0.207,0.408,0.087,0.895
Greta Thunberg,0000001.jpg,0.998,0.282,0.378,0.384,0.252,1.224,1.383,139.493,0.046,0.197,0.207,0.05,0.868
Brian_Chesky,000001.jpg,0.682,0.331,0.338,0.365,0.222,0.822,1.172,150.337,0.145,0.21,0.354,0.08,0.912
Billie Eilish,7df995c43f000e0859c1dc304e65485f.jpg,0.619,0.331,0.364,0.34,0.266,0.699,1.151,153.76,0.247,0.349,0.364,0.078,0.91
Tom_Cruise,8b7685d5a9a174e368308719b0f43461.jpg,0.408,0.348,0.318,0.371,0.238,0.479,1.031,155.795,0.278,0.322,0.652,0.134,0.909
Satya_Nadella,6b1b0e3fb4f4b0746b401dcca1658b5a.jpg,0.472,0.349,0.313,0.378,0.264,0.623,1.159,150.034,0.141,0.175,0.43,0.093,0.906
Steve_Jobs,000001.jpg,0.701,0.349,0.298,0.386,0.242,0.999,1.173,141.785,0.099,0.142,0.207,0.05,0.895
Patrick_Bet-David,000001.jpg,0.867,0.358,0.286,0.396,0.228,1.166,1.132,140.306,0.094,0.209,0.297,0.069,0.844
Leonardo_DiCaprio,06a20af29333f4b72c975c07664d2709.jpg,0.591,0.36,0.302,0.38,0.232,0.762,1.067,147.234,0.152,0.202,0.303,0.069,0.932
